epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,55.4935,2.54389,5.7253,4.27018,0,0,0,0,3.21277,5.83365,4.14623,2.96935e-05,2.96935e-05,2.96935e-05
47,56.804,3.45558,5.80181,4.28551,0,0,0,0,3.21277,5.83358,4.14589,2.98114e-05,2.98114e-05,2.98114e-05
48,57.9864,3.26716,5.76307,4.2165,0,0,0,0,3.21277,5.83358,4.14589,2.99058e-05,2.99058e-05,2.99058e-05
49,59.456,3.68197,5.72715,4.18107,0,0,0,0,3.21275,5.83367,4.14563,2.99766e-05,2.99766e-05,2.99766e-05
50,60.6291,3.45167,5.69448,4.2221,0,0,0,0,3.21275,5.83367,4.14563,3.00238e-05,3.00238e-05,3.00238e-05
51,61.9948,3.66528,5.67083,4.21618,0,0,0,0,3.21277,5.83358,4.14528,3.00475e-05,3.00475e-05,3.00475e-05
52,63.2699,3.36236,5.74892,4.31355,0,0,0,0,3.21277,5.83358,4.14528,3.00476e-05,3.00476e-05,3.00476e-05
53,64.4786,3.12966,5.61524,4.27336,0,0,0,0,3.21277,5.83358,4.14528,3.00242e-05,3.00242e-05,3.00242e-05
54,65.9181,3.39803,5.63632,4.23406,0,0,0,0,3.21281,5.83333,4.14491,2.99772e-05,2.99772e-05,2.99772e-05
55,67.1033,3.59381,5.73729,4.34088,0,0,0,0,3.21281,5.83333,4.14491,2.99066e-05,2.99066e-05,2.99066e-05
56,68.3346,4.10319,5.79504,4.41915,0,0,0,0,3.21281,5.83333,4.14491,2.98125e-05,2.98125e-05,2.98125e-05
57,69.6776,3.54834,5.69664,4.35383,0,0,0,0,3.21283,5.83315,4.14465,2.96948e-05,2.96948e-05,2.96948e-05
58,70.8829,3.24024,5.58545,4.23328,0,0,0,0,3.21283,5.83315,4.14465,2.95535e-05,2.95535e-05,2.95535e-05
59,72.291,3.30513,5.64751,4.21502,0,0,0,0,3.21283,5.83315,4.14465,2.93887e-05,2.93887e-05,2.93887e-05
60,73.6193,3.28619,5.5612,4.17746,0,0,0,0,3.21286,5.83278,4.14439,2.92003e-05,2.92003e-05,2.92003e-05
61,74.7913,3.48951,5.72422,4.34228,0,0,0,0,3.21286,5.83278,4.14439,2.89884e-05,2.89884e-05,2.89884e-05
62,76.3587,3.02829,5.64909,4.29154,0,0,0,0,3.21286,5.83278,4.14439,2.87529e-05,2.87529e-05,2.87529e-05
63,78.5531,3.82701,5.47123,4.25244,0,0,0,0,3.21292,5.83226,4.14415,2.84938e-05,2.84938e-05,2.84938e-05
64,79.8246,3.24679,5.65618,4.32094,0,0,0,0,3.21292,5.83226,4.14415,2.82112e-05,2.82112e-05,2.82112e-05
65,81.0147,3.41453,5.83038,4.23955,0,0,0,0,3.21292,5.83226,4.14415,2.7905e-05,2.7905e-05,2.7905e-05
66,82.637,3.37634,5.62807,4.40817,0,0,0,0,3.21302,5.83215,4.14404,2.75753e-05,2.75753e-05,2.75753e-05
67,83.9492,3.50288,5.72906,4.30432,0,0,0,0,3.21302,5.83215,4.14404,2.7222e-05,2.7222e-05,2.7222e-05
68,85.1546,3.32653,5.45015,4.22408,0,0,0,0,3.21302,5.83215,4.14404,2.68451e-05,2.68451e-05,2.68451e-05
69,86.4811,3.24167,5.66347,4.25984,0,0,0,0,3.21316,5.83212,4.14399,2.64447e-05,2.64447e-05,2.64447e-05
70,88.3655,3.11472,5.74367,4.39718,0,0,0,0,3.21316,5.83212,4.14399,2.60207e-05,2.60207e-05,2.60207e-05
71,90.1893,3.34914,5.66785,4.2048,0,0,0,0,3.21316,5.83212,4.14399,2.55731e-05,2.55731e-05,2.55731e-05
72,91.5684,3.31365,5.75881,4.2533,0,0,0,0,3.21336,5.83211,4.14403,2.5102e-05,2.5102e-05,2.5102e-05
73,92.9091,3.25606,5.5778,4.27325,0,0,0,0,3.21336,5.83211,4.14403,2.46073e-05,2.46073e-05,2.46073e-05
74,94.1903,3.46622,5.68665,4.20627,0,0,0,0,3.21336,5.83211,4.14403,2.40891e-05,2.40891e-05,2.40891e-05
75,95.6911,3.37689,5.50119,4.22062,0,0,0,0,3.21359,5.83212,4.14407,2.35472e-05,2.35472e-05,2.35472e-05
76,96.8836,3.30622,5.80196,4.22886,0,0,0,0,3.21359,5.83212,4.14407,2.29819e-05,2.29819e-05,2.29819e-05
77,98.1746,3.01805,5.67179,4.26889,0,0,0,0,3.21359,5.83212,4.14407,2.23929e-05,2.23929e-05,2.23929e-05
78,99.5011,3.32578,5.5543,4.22327,0,0,0,0,3.21388,5.83229,4.14422,2.17805e-05,2.17805e-05,2.17805e-05
79,100.924,3.41536,5.65449,4.29662,0,0,0,0,3.21388,5.83229,4.14422,2.11444e-05,2.11444e-05,2.11444e-05
80,102.122,3.68856,5.73918,4.2128,0,0,0,0,3.21388,5.83229,4.14422,2.04848e-05,2.04848e-05,2.04848e-05
81,103.448,3.56119,5.55505,4.19436,0,0,0,0,3.21431,5.83204,4.14437,1.98016e-05,1.98016e-05,1.98016e-05
82,104.658,3.46836,5.62584,4.17978,0,0,0,0,3.21431,5.83204,4.14437,1.90949e-05,1.90949e-05,1.90949e-05
83,105.901,3.21401,5.54457,4.21155,0,0,0,0,3.21431,5.83204,4.14437,1.83646e-05,1.83646e-05,1.83646e-05
84,107.354,3.01968,5.65696,4.18277,0,0,0,0,3.21474,5.83216,4.14459,1.76107e-05,1.76107e-05,1.76107e-05
85,108.588,3.25402,5.66836,4.28306,0,0,0,0,3.21474,5.83216,4.14459,1.68333e-05,1.68333e-05,1.68333e-05
86,109.835,3.13617,5.21264,4.26505,0,0,0,0,3.21474,5.83216,4.14459,1.60323e-05,1.60323e-05,1.60323e-05
87,111.029,3.39734,5.65675,4.19554,0,0,0,0,3.21474,5.83216,4.14459,1.52077e-05,1.52077e-05,1.52077e-05
88,112.365,3.6775,5.56566,4.40242,0,0,0,0,3.21534,5.83203,4.14481,1.43596e-05,1.43596e-05,1.43596e-05
89,113.658,3.27251,5.57758,4.28386,0,0,0,0,3.21534,5.83203,4.14481,1.34879e-05,1.34879e-05,1.34879e-05
90,114.983,3.44696,5.69053,4.20811,0,0,0,0,3.21534,5.83203,4.14481,1.25927e-05,1.25927e-05,1.25927e-05
91,116.207,3.33575,5.62538,4.22477,0,0,0,0,3.21534,5.83203,4.14481,1.16739e-05,1.16739e-05,1.16739e-05
92,117.542,2.9862,5.57053,4.57518,0,0,0,0,3.21617,5.83236,4.14505,1.07315e-05,1.07315e-05,1.07315e-05
93,118.737,2.85322,5.31233,4.26028,0,0,0,0,3.21617,5.83236,4.14505,9.76562e-06,9.76562e-06,9.76562e-06
94,119.945,2.86545,5.46596,4.32893,0,0,0,0,3.21617,5.83236,4.14505,8.77613e-06,8.77613e-06,8.77613e-06
95,121.176,2.54751,5.33347,4.29428,0,0,0,0,3.21617,5.83236,4.14505,7.76308e-06,7.76308e-06,7.76308e-06
96,122.695,2.64338,5.33457,4.34248,0,0,0,0,3.21704,5.83276,4.14531,6.72648e-06,6.72648e-06,6.72648e-06
97,123.959,2.89399,5.30875,4.43902,0,0,0,0,3.21704,5.83276,4.14531,5.6663e-06,5.6663e-06,5.6663e-06
98,125.169,2.79347,5.37106,4.19497,0,0,0,0,3.21704,5.83276,4.14531,4.58257e-06,4.58257e-06,4.58257e-06
99,126.389,2.68079,5.63344,4.39399,0,0,0,0,3.21704,5.83276,4.14531,3.47528e-06,3.47528e-06,3.47528e-06
100,127.698,2.89502,5.55252,4.26384,0,0,0,0,3.21809,5.833,4.1456,2.34442e-06,2.34442e-06,2.34442e-06
